time(s),Ishaft0(kA),Ishaft(MA),csc_volume,csc_surf,csc_rcntr,csc_aspct,csc_e95,csc_trian,csc_trianu,csc_trianl,csc_btor_ax,csc_btor_cntr,csc_flxln,csc_absflx,csc_torflux,csc_prsrf0,csc_betae,csc_null,csc_psix,csc_ne0,csc_te0,csc_pr0,csc_prsav0,csc_q0,csc_qsav0,csc_eta0,csc_massden0,csc_rot0,amean,rmean,aratio,kappa,delta1,delta2,li1,li2,li3,ro,zo,psio,betap1,betap2,betap3,betat,betan,bt0,q0,qmin,qmax,qa,Ipl,q95,Epl_n1,Evac_n1,Etot_n1,ReEig_n1,ImEig_n1,taua1_n1,taur1_n1,Epl_n2,Evac_n2,Etot_n2,ReEig_n2,ImEig_n2,taua1_n2,taur1_n2,CV,vcomp,C_ne_core,C_ne_core^{1/3},xcomp
0,1000,0.993018402797619,2.186881,0.7016465,0.4818082,1.454495,1.720983,-0.2136424,-0.2140447,-0.2132401,0.3987606,0.4122772,0.0915841,0.1,0.3439536,1751.045,0.01268403,0,0.1,1.994816E+019,299.4814,1751.045,1751.045,2.9211,2.919023,2.090959E-07,5.552237E-08,0,0.328620613,0.483033687,1.46988249,1.70172322,-0.216004491,-0.215676591,0.667761505,0.511073053,0.569442809,0.538201034,0.00654344028,0.0145415114,0.142723396,0.109233737,0.121709339,0.0119440034,0.536990464,0.411159068,2.9026432,2.74646926,8.99761105,9.55723858,0.300530106,7.27899981,-0.00288914493,0.000265408511,-0.00262373639,-1736.754,2792.779,1.499E-06,0.2628,-0.00273166713,0.000330046198,-0.00240162085,-3287.401,4575.872,7.497E-07,0.2628,1,1,1,1,
0.00107,1000,1.07260101856598,1.583227,0.5783461,0.4395366,1.452734,1.763888,0.128188,0.1328666,0.1235094,0.484784,0.4881196,0.09292302,0.1,0.3489475,2375.098,0.0126811,0,0.1,2.395149E+019,338.3163,2375.098,2375.098,2.923863,2.919023,1.745056E-07,6.666498E-08,0,0.300227523,0.44050017,1.46722114,1.74958241,0.117569961,0.109634504,0.645484746,0.482303977,0.528565884,0.482752353,0.00231643952,0.0147528648,0.11844448,0.0885013044,0.0969902277,0.0119705433,0.492488891,0.486992329,2.90276337,2.74657845,8.99782372,9.55788612,0.355377614,7.27799988,-0.00360906147,0.000249821373,-0.00335924025,-2029.309,3198.389,1.174E-06,0.2669,-0.00345920096,0.000308829331,-0.0031503716,-3665.863,5196.301,5.868E-07,0.2669,1.38128076390814,1.11368060036799,0.832856745029224,0.940856599965147,2.7196261682243
0.00139,1000,1.14060164575118,1.230271,0.4977763,0.4049973,1.489367,1.944467,0.154042,0.1613731,0.146711,0.5716301,0.5633414,0.09284188,0.1,0.3487939,3074.789,0.01220744,0,0.1,2.801999E+019,375.6182,3074.789,3074.789,2.925912,2.919023,1.494304E-07,7.798898E-08,0,0.269785047,0.405723304,1.50387609,1.93082583,0.142400339,0.126427442,0.677751958,0.485585362,0.524886429,0.438560665,0.00210111379,0.0147439782,0.108450308,0.0777008235,0.0839895681,0.0115219336,0.439760417,0.562255919,2.90273356,2.74653554,8.99750328,9.55719376,0.39743048,7.27899981,-0.00338802161,0.000360697886,-0.00302732363,-2114.747,3442.283,9.397E-07,0.2656,-0.00319278566,0.000434933754,-0.00275785197,-3843.897,5607.67,4.698E-07,0.2656,1.77756039116585,1.21136434933087,0.711926021386874,0.892918091486729,2.09352517985611
0.00164,1000,1.20552176494909,0.9674019,0.43204,0.3732102,1.526988,2.146954,0.1755351,0.1818086,0.1692615,0.6695002,0.6461365,0.09295448,0.1,0.349466,3965.652,0.01184901,0,0.1,3.257819E+019,415.3229,3965.652,3965.652,2.927345,2.919023,1.287401E-07,9.067596E-08,0,0.24253875,0.37380141,1.54120278,2.13905525,0.163261771,0.150767207,0.692103803,0.469219536,0.501805663,0.399760991,0.00267629814,0.0147720268,0.0959026068,0.0650182515,0.0695336089,0.0111884177,0.383600503,0.645006537,2.90267587,2.74647212,8.99703121,9.55652142,0.45628348,7.27899981,-0.00385995139,0.000560298329,-0.0032996533,-2218.254,3683.515,7.644E-07,0.2674,-0.00358015904,0.000660906197,-0.00291925296,-4048.748,6016.644,3.822E-07,0.2674,2.26057133028165,1.31241969316059,0.612316399407088,0.84916476173066,1.77439024390244
0.00185,1000,1.26577593455717,0.768372,0.3776958,0.3444906,1.566489,2.376965,0.2000746,0.1976547,0.2024945,0.7788109,0.7350057,0.09324765,0.1,0.3505002,5043.782,0.01156473,0,0.1,3.763559E+019,457.2641,5043.782,5043.782,2.927947,2.919023,1.116203E-07,1.047524E-07,0,0.218323454,0.34499082,1.58018208,2.38055205,0.185763791,0.1868788,0.687565684,0.434934855,0.46111533,0.365757197,0.00374056725,0.0148143806,0.0815582722,0.0515914857,0.0546969809,0.0109195504,0.326069981,0.733802676,2.90267229,2.74645972,8.996521,9.55608082,0.536504865,7.27899981,-0.00571798859,0.000842111534,-0.00487587694,-2313.284,3911.503,6.317E-07,0.2721,-0.00531792454,0.000975961564,-0.00434196275,-4286.306,6415.976,3.158E-07,0.2721,2.846122711395,1.41715669757501,0.530034470032222,0.809284777395565,1.57297297297297
0.00203,1000,1.40289218637914,0.5875629,0.3141533,0.3201714,1.626604,2.545167,0.2026901,0.1931352,0.212245,0.9386513,0.8764854,0.09252822,0.1000158,0.3462873,6605.365,0.01053158,0,0.1000158,4.423601E+019,509.2744,6605.365,6604.349,2.921952,2.919023,9.513711E-08,1.231236E-07,0,0.195430547,0.320543379,1.64019072,2.56635904,0.18655245,0.20324485,0.69044435,0.414870948,0.436056942,0.336912394,0.00358851929,0.0146352202,0.0741544515,0.0445575751,0.046832975,0.00991679262,0.28364253,0.875321269,2.9027164,2.74651051,8.99650288,9.55588913,0.598080695,7.27899981,-0.00714019453,0.000876316801,-0.00626388844,-2404.086,5333.592,5.256E-07,0.2704,-0.00673787249,0.00100345409,-0.00573441386,-4739.203,7025.713,2.628E-07,0.2704,3.72195215184621,1.54973316972496,0.450948446751866,0.766847427705338,1.43349753694581
0.00219,1000,1.55614712025225,0.4529968,0.2635197,0.2977096,1.679501,2.697198,0.2439896,0.2363566,0.2516227,1.132795,1.045572,0.09266332,0.1,0.3478964,8629.993,0.009631416,0,0.1,5.194564E+019,566.8489,8629.993,8629.993,2.926377,2.919023,8.11624E-08,1.44582E-07,0,0.176033854,0.297956884,1.69261134,2.74031162,0.232071713,0.246163949,0.670768201,0.380397797,0.397208482,0.311124325,0.003030302,0.0147024058,0.0638957024,0.0362357385,0.0378370844,0.00907314848,0.241154864,1.04454517,2.90273023,2.74655843,8.99628925,9.5562191,0.691807747,7.27699995,-0.0122699058,0.00102669187,-0.011243226,-2744.072,5813.048,4.38E-07,0.2721,-0.0117779179,0.00117473118,-0.0106031802,-5276.67,7696.678,2.19E-07,0.2721,4.8275859785323,1.69009067572862,0.384019910044423,0.726860799051766,1.32876712328767
0.00233,1000,1.82398455795296,0.3370565,0.2108699,0.2777953,1.745437,2.713552,0.2836444,0.278029,0.2892598,1.41569,1.313382,0.09255932,0.09999998,0.3467401,11607.75,0.008191569,0,0.09999998,6.206231E+019,638.2437,11607.75,11607.75,2.925729,2.919023,6.806692E-08,1.727401E-07,0,0.158124462,0.278026134,1.75827408,2.7786293,0.276409894,0.286860615,0.663775802,0.370998412,0.385760069,0.289088517,0.00263840612,0.0146502145,0.059774559,0.0334092714,0.0347385928,0.00770358369,0.214163363,1.31209576,2.90274358,2.74657845,8.99593163,9.55631733,0.746297836,7.27600002,-0.0181339532,0.00124511658,-0.0168888755,-3382.449,5272.189,3.637E-07,0.2637,-0.0174869243,0.00144031458,-0.0160466004,-5916.041,8569.721,1.818E-07,0.2637,6.48817334779184,1.86512301658848,0.32142148753406,0.685001678319408,1.24892703862661
0.00246,1000,2.33331572905362,0.2366041,0.1573388,0.2597669,1.826506,2.532846,0.3160391,0.3128628,0.3192154,1.894752,1.796725,0.09231542,0.09999997,0.3454921,16679.32,0.006218074,0,0.09999997,7.714428E+019,737.8539,16679.32,16679.32,2.92528,2.919023,5.489206E-08,2.147182E-07,0,0.141257808,0.259910464,1.83997226,2.60372543,0.31061089,0.316492051,0.689372301,0.408480495,0.423190355,0.269270122,0.00247631595,0.0145972585,0.0631484687,0.037417978,0.0387654416,0.00583929475,0.203002721,1.79547656,2.90274525,2.7465744,8.99594593,9.55631065,0.729542792,7.27600002,-0.0181712676,0.00121698633,-0.0169542786,-3711.053,5889.56,2.933E-07,0.2422,-0.0174891688,0.00143385818,-0.016055312,-6550.295,9604.891,1.466E-07,0.2422,9.24278573363691,2.09862235672527,0.258582489848891,0.637088409835196,1.18292682926829
0.00257,1000,2.67709232466036,0.184036,0.1306454,0.2436501,1.894386,2.570575,0.3665053,0.3637004,0.3693103,2.31307,2.197823,0.09336202,0.09999999,0.3489498,21755.74,0.005402588,0,0.09999999,9.047313E+019,820.5675,21755.74,21755.74,2.925436,2.919023,4.688789E-08,2.518169E-07,0,0.127802357,0.243810475,1.90771496,2.65309215,0.361044616,0.366294563,0.681247354,0.397326201,0.410765529,0.252057225,0.00242926995,0.0147424471,0.0579191037,0.033780355,0.0349229574,0.00507060438,0.178379864,2.19604373,2.90272403,2.74654961,8.99565887,9.55626678,0.797799528,7.2750001,-0.0245795082,0.00146009843,-0.0231194161,-4011.019,6351.279,2.459E-07,0.2369,-0.0237044469,0.00173672545,-0.0219677314,-7056.423,10359.81,1.23E-07,0.2369,11.8828979112782,2.28195699367661,0.220487121424892,0.604126299758897,1.13229571984436
0.00267,1000,3.57390521363443,0.1287114,0.09518175,0.2299574,2.00547,2.303694,0.3497053,0.3475493,0.3518613,3.191375,3.108746,0.09257498,0.1,0.3466359,31874.57,0.00382921,0,0.1,1.137742E+020,956.0129,31874.57,31874.57,2.922646,2.919023,3.737982E-08,3.166715E-07,0,0.113892809,0.230055943,2.01993394,2.37705588,0.342248648,0.346309751,0.754789412,0.490996838,0.506572902,0.237354085,0.00230891421,0.0146484077,0.0688043982,0.0447578393,0.0461777076,0.0035904625,0.178533688,3.10698795,2.9027369,2.74654818,8.99612522,9.5562582,0.711649418,7.27699995,-0.0158601645,0.00112691626,-0.0147332475,-4024.637,6831.678,1.969E-07,0.2093,-0.0151777267,0.00135677506,-0.0138209518,-7474.067,11306,9.845E-08,0.2093,16.9905773692152,2.57080643938766,0.175331138342436,0.559697049512675,1.08988764044944
0.00276,1000,4.59133114168359,0.09280615,0.07161477,0.2173658,2.130487,2.147387,0.3247629,0.3225585,0.3269673,4.279446,4.225193,0.09186751,0.1,0.3445333,45301.76,0.002853414,0,0.1,1.404903E+020,1100.354,45301.76,45301.76,2.925382,2.919023,3.034205E-08,3.910315E-07,0,0.101327151,0.217450187,2.14602089,2.21485448,0.315259963,0.319470078,0.828681469,0.578946233,0.596233487,0.223943219,0.00228506862,0.0145611828,0.0779831931,0.054481823,0.0561086424,0.00267442758,0.172886327,4.22288084,2.90269494,2.74650359,8.99562263,9.55532932,0.661918938,7.27699995,-0.0134236682,0.00142678432,-0.011996883,-3866.351,7182.08,1.593E-07,0.1887,-0.0125691677,0.00172681897,-0.0108423484,-7813.177,12137.51,7.963E-08,0.1887,23.5639663966235,2.8669236785205,0.141989589316843,0.521697594642086,1.05434782608696
