t(s),Req(m),CR,CV,Cn,kappa,T_gain,k,a,R0,tau_e
0.000000,0.820000,1.000000,1.000000,1.000000,1.691412,1.000000,5.311230,0.343572,0.479559,0.007090
0.000010,0.820000,1.000000,1.000000,1.000000,1.691413,0.998591,5.311231,0.343572,0.479560,0.007090
0.000020,0.820000,1.000000,1.000000,1.000000,1.691413,0.997183,5.311231,0.343572,0.479560,0.007090
0.000030,0.820000,1.000000,1.000001,1.000001,1.691413,0.995778,5.311232,0.343572,0.479559,0.007090
0.000040,0.820000,1.000000,1.000002,1.000002,1.691415,0.994375,5.311235,0.343572,0.479559,0.007090
0.000050,0.819999,1.000001,1.000004,1.000004,1.691417,0.992975,5.311240,0.343571,0.479559,0.007090
0.000060,0.819998,1.000002,1.000008,1.000008,1.691421,0.991578,5.311250,0.343571,0.479558,0.007090
0.000070,0.819997,1.000004,1.000015,1.000015,1.691427,0.990185,5.311265,0.343569,0.479556,0.007090
0.000080,0.819994,1.000007,1.000025,1.000025,1.691437,0.988796,5.311288,0.343567,0.479554,0.007090
0.000090,0.819991,1.000011,1.000039,1.000039,1.691451,0.987412,5.311321,0.343564,0.479551,0.007090
0.000100,0.819986,1.000017,1.000058,1.000058,1.691470,0.986033,5.311366,0.343560,0.479547,0.007090
0.000110,0.819980,1.000024,1.000084,1.000084,1.691496,0.984660,5.311427,0.343555,0.479541,0.007089
0.000120,0.819972,1.000034,1.000095,1.000095,1.691528,0.983279,5.311513,0.343548,0.479534,0.007089
0.000130,0.819962,1.000046,1.000116,1.000116,1.691572,0.981907,5.311626,0.343538,0.479526,0.007089
0.000140,0.819949,1.000062,1.000171,1.000171,1.691625,0.980558,5.311751,0.343527,0.479514,0.007089
0.000150,0.819934,1.000081,1.000236,1.000236,1.691689,0.979218,5.311901,0.343514,0.479500,0.007088
0.000160,0.819915,1.000104,1.000314,1.000314,1.691766,0.977889,5.312082,0.343499,0.479482,0.007088
0.000170,0.819892,1.000132,1.000408,1.000408,1.691857,0.976571,5.312298,0.343480,0.479462,0.007087
0.000180,0.819865,1.000165,1.000517,1.000517,1.691965,0.975265,5.312552,0.343458,0.479437,0.007086
0.000190,0.819834,1.000203,1.000639,1.000639,1.692091,0.973968,5.312851,0.343432,0.479409,0.007086
0.000200,0.819797,1.000247,1.000784,1.000784,1.692236,0.972689,5.313193,0.343402,0.479377,0.007085
0.000210,0.819755,1.000299,1.000953,1.000953,1.692405,0.971426,5.313593,0.343367,0.479339,0.007084
0.000220,0.819707,1.000357,1.001144,1.001144,1.692599,0.970179,5.314049,0.343328,0.479296,0.007082
0.000230,0.819653,1.000424,1.001362,1.001362,1.692816,0.968950,5.314563,0.343283,0.479248,0.007081
0.000240,0.819590,1.000500,1.001608,1.001608,1.693063,0.967741,5.315146,0.343233,0.479193,0.007079
0.000250,0.819518,1.000588,1.001884,1.001884,1.693340,0.966553,5.315800,0.343176,0.479131,0.007078
0.000260,0.819442,1.000681,1.002192,1.002192,1.693648,0.965386,5.316529,0.343113,0.479062,0.007076
0.000270,0.819354,1.000788,1.002535,1.002535,1.693989,0.964242,5.317335,0.343043,0.478986,0.007074
0.000280,0.819256,1.000908,1.002921,1.002921,1.694372,0.963127,5.318242,0.342964,0.478901,0.007071
0.000290,0.819147,1.001041,1.003316,1.003316,1.694798,0.962018,5.319251,0.342877,0.478807,0.007069
0.000300,0.819027,1.001187,1.003801,1.003801,1.695276,0.960967,5.320384,0.342779,0.478701,0.007066
