time(s),Ishaft0(kA),Ishaft(MA),csc_volume,csc_surf,csc_rcntr,csc_aspct,csc_e95,csc_trian,csc_trianu,csc_trianl,csc_btor_ax,csc_btor_cntr,csc_flxln,csc_absflx,csc_torflux,csc_prsrf0,csc_betae,csc_null,csc_psix,csc_ne0,csc_te0,csc_pr0,csc_prsav0,csc_q0,csc_qsav0,csc_eta0,csc_massden0,csc_rot0,amean,rmean,aratio,kappa,delta1,delta2,li1,li2,li3,ro,zo,psio,betap1,betap2,betap3,betat,betan,bt0,q0,qmin,qmax,qa,Ipl,q95,Epl_n1,Evac_n1,Etot_n1,ReEig_n1,taua1_n1,taur1_n1,Epl_n2,Evac_n2,Etot_n2,ReEig_n2,taua1_n2,taur1_n2,CV,vcomp,C_ne_core,C_ne_core^{1/3},xcomp
0,1000,0.993018402797619,2.186881,0.7016465,0.4818082,1.454495,1.720983,-0.2136424,-0.2140447,-0.2132401,0.3987606,0.4122772,0.0915841,0.1,0.3439536,1751.045,0.01268403,0,0.1,1.994816E+019,299.4814,1751.045,1751.045,2.9211,2.919023,2.090959E-07,5.552237E-08,0,0.328620613,0.483033687,1.46988249,1.70172322,-0.216004491,-0.215676591,0.667761505,0.511073053,0.569442809,0.538201034,0.00654344028,0.0145415114,0.142723396,0.109233737,0.121709339,0.0119440034,0.536990464,0.411159068,2.9026432,2.74646926,8.99761105,9.55723858,0.300530106,7.27899981,-0.00288914493,0.000265408569,-0.00262373639,-1749.744,1.499E-06,0.2628,-0.00273166737,0.000330046285,-0.00240162108,-3284.261,7.497E-07,0.2628,1,1,1,1,
0.00107,1000,1.072035522906,1.584051,0.5786617,0.4395268,1.452615,1.764548,0.1280875,0.1324908,0.1236842,0.4845726,0.4878732,0.09293017,0.1,0.3489887,2374.08,0.01268826,0,0.1,2.394539E+019,338.2589,2374.08,2374.08,2.923863,2.919023,1.745496E-07,6.6648E-08,0,0.300244659,0.44048962,1.46710229,1.75022721,0.11722137,0.109815106,0.645264149,0.482050359,0.528292656,0.482745081,0.00250470685,0.0147547461,0.118354127,0.0884175077,0.0968992636,0.0119782612,0.492310882,0.486747235,2.90276313,2.74657798,8.9978199,9.55788422,0.355576575,7.27799988,-0.00362432422,0.000250893965,-0.00337343011,-2037.643,1.174E-06,0.267,-0.00347376382,0.000310132833,-0.00316363107,-3663.098,5.868E-07,0.267,1.38056224199852,1.11348746012595,0.833068912220682,0.940936486434316,2.7196261682243
0.00139,1000,1.14048818082014,1.230512,0.4978499,0.4050172,1.489505,1.945162,0.15348,0.1606246,0.1463354,0.5715295,0.5632576,0.09283484,0.1,0.3487677,3083.06,0.01223852,0,0.1,2.801618E+019,375.5841,3083.06,3083.06,2.925923,2.919023,1.494505E-07,7.797836E-08,0,0.269772172,0.405742258,1.50401819,1.93145835,0.141595647,0.126029268,0.677971542,0.485686511,0.524996817,0.438582063,0.0022481468,0.0147428671,0.108753972,0.0779093727,0.0842151716,0.0115505429,0.44084233,0.562173724,2.90273356,2.74653578,8.9975071,9.5571928,0.397362411,7.27899981,-0.00337265525,0.000359573023,-0.00301308231,-2119.684,9.397E-07,0.2656,-0.00317814061,0.000433532725,-0.00274460809,-3849.942,4.699E-07,0.2656,1.77721224986022,1.21128526087843,0.712022838231336,0.892958566475628,2.09352517985611
0.00164,1000,1.17405324676525,0.9882245,0.4422983,0.3728392,1.521647,2.183698,0.1711819,0.158566,0.1837978,0.6560782,0.6298966,0.09327367,0.1,0.3504567,3889.314,0.01224628,0,0.1,3.220068E+019,412.1082,3889.314,3889.314,2.927487,2.919023,1.302324E-07,8.962521E-08,0,0.24315168,0.373426974,1.53577793,2.17461658,0.140956342,0.162700489,0.682280004,0.45706141,0.488888144,0.399429977,0.00606333092,0.0148131987,0.0926500261,0.0620665289,0.0663884357,0.011559329,0.37772283,0.628799379,2.90267825,2.74647069,8.99691677,9.5566082,0.467895389,7.27899981,-0.00461866474,0.000616541947,-0.00400212407,-2179.056,7.679E-07,0.2699,-0.00431103958,0.000726398255,-0.0035846408,-4004.756,3.84E-07,0.2699,2.21293946871384,1.3031363068684,0.619494992031224,0.852470318637615,1.77439024390244
0.00185,1000,1.36541978904347,0.7236158,0.3539425,0.3446306,1.56585,2.209109,0.1312417,0.06558181,0.1969016,0.8276413,0.7925101,0.09344906,0.1,0.3513393,5356.959,0.01058664,0,0.1,3.901816E+019,468.3952,5356.959,5356.959,2.927133,2.919023,1.077086E-07,1.086005E-07,0,0.21846287,0.345109999,1.57971919,2.20549774,0.0627471805,0.180005997,0.702409923,0.464252144,0.4924227,0.366051078,-0.0097619947,0.0148501322,0.0876977444,0.0579631142,0.0614802837,0.00999546237,0.341126829,0.791295409,2.90272593,2.74654627,8.99730968,9.55692863,0.506527781,7.27899981,-0.00358019513,0.000490072125,-0.00309012225,-2405.327,6.22E-07,0.266,-0.00334064476,0.000577682455,-0.00276296283,-4424.613,3.11E-07,0.266,3.02215761457945,1.44579162086927,0.511253221576825,0.799610863651415,1.57297297297297
0.00203,1000,1.502584192677,0.558849,0.2982065,0.3198067,1.615773,2.351311,0.16784,0.1246791,0.2110008,0.9933184,0.9398268,0.09346645,0.09998026,0.3518066,6972.748,0.009730527,0,0.09998026,4.575665E+019,520.8796,6972.748,6984.222,2.927208,2.919023,9.20101E-08,1.27356E-07,0,0.196714416,0.320091426,1.62718844,2.36009741,0.120994113,0.200203598,0.69924289,0.441198319,0.464393675,0.336919785,-0.00528396619,0.0148933474,0.0774583593,0.0488735735,0.0514430292,0.00919921044,0.295107335,0.938846886,2.90271187,2.74652505,8.99689674,9.55661392,0.575707018,7.27899981,-0.00540572172,0.000691584952,-0.00471413601,-2636.216,5.147E-07,0.2668,-0.0050730994,0.000810417114,-0.00426267972,-4808.021,2.574E-07,0.2668,3.91318764102647,1.57583312147361,0.435961985853422,0.758256614343821,1.43349753694581
0.00219,1000,1.6764529113465,0.4295021,0.2489245,0.297201,1.669587,2.474581,0.2193515,0.1937801,0.2449229,1.20188,1.128354,0.09381989,0.1,0.3523356,9153.75,0.008832352,0,0.1,5.381273E+019,580.3517,9153.75,9153.75,2.926356,2.919023,7.837721E-08,1.497788E-07,0,0.17677106,0.2974765,1.68283486,2.49859428,0.187946871,0.238504902,0.689776242,0.417148709,0.436383486,0.311193168,-0.00102323515,0.0148901232,0.0689621419,0.0417055078,0.0436285511,0.00832668785,0.255678594,1.1271162,2.90270495,2.74651217,8.99629784,9.55620384,0.64887017,7.27799988,-0.00934286695,0.00102185935,-0.00832102541,-2957.396,4.276E-07,0.2651,-0.00883768871,0.00119297171,-0.00764471153,-5301.404,2.138E-07,0.2651,5.09166544238084,1.72036244416868,0.37069593012657,0.718355254223503,1.32876712328767
0.00233,1000,1.89338460552407,0.3297792,0.2062265,0.2774782,1.734747,2.588116,0.2745314,0.2584605,0.2906022,1.460699,1.364911,0.09388134,0.1,0.3520877,11983.88,0.007864319,0,0.1,6.325946E+019,646.4251,11983.88,11983.88,2.925573,2.919023,6.679299E-08,1.760722E-07,0,0.158886254,0.277684391,1.74769294,2.63087654,0.25394851,0.286627322,0.677719116,0.393831283,0.409750074,0.288908482,0.00139088917,0.0148776099,0.0618679635,0.0359522663,0.0374054685,0.00740441121,0.221219033,1.36369538,2.90273738,2.74656773,8.99639797,9.55664635,0.725223303,7.27699995,-0.0130214579,0.000993416877,-0.0120280087,-3333.198,3.573E-07,0.2616,-0.012503135,0.0011594044,-0.011343725,-5862.816,1.787E-07,0.2616,6.63134909660767,1.87874266092412,0.315338765142794,0.680653038413779,1.24892703862661
0.00246,1000,2.17553750745251,0.2498052,0.168157,0.2590311,1.811283,2.687354,0.3355945,0.3242286,0.3469603,1.800446,1.680005,0.09395283,0.1,0.3514724,15900.09,0.006856285,0,0.1,7.495579E+019,723.8324,15900.09,15900.09,2.924773,2.919023,5.647671E-08,2.086269E-07,0,0.142083272,0.259193003,1.82423306,2.75337791,0.321857303,0.344159156,0.662512481,0.370797783,0.384039611,0.268449217,0.00217499817,0.014847775,0.055762887,0.0312096085,0.0323241577,0.00644238107,0.190387592,1.6787008,2.90273237,2.74658346,8.99606228,9.55667114,0.807093799,7.27600002,-0.020615384,0.00121641601,-0.0193989407,-3747.022,2.974E-07,0.256,-0.0199310631,0.00142708281,-0.0185039733,-6500.517,1.487E-07,0.256,8.75434538592471,2.06098370916889,0.266132342811676,0.643229398940902,1.18292682926829
0.00257,1000,2.56942118755474,0.1889644,0.1352399,0.2433563,1.893984,2.692814,0.3869951,0.3812355,0.3927548,2.247371,2.111993,0.09409445,0.09999999,0.3509512,21191.75,0.005742121,0,0.09999999,8.905724E+019,811.9839,21191.75,21191.75,2.924838,2.919023,4.762503E-08,2.47876E-07,0,0.127684698,0.243500903,1.90704846,2.7765913,0.379031807,0.389800459,0.65996021,0.367944747,0.379962713,0.251454234,0.00235046842,0.0148214772,0.0532939062,0.0297127198,0.0306832083,0.00538451411,0.169797599,2.11039972,2.90271878,2.746557,8.9956255,9.55642128,0.854512632,7.2750001,-0.0285545178,0.00152425945,-0.0270302482,-4086.967,2.481E-07,0.2449,-0.0276303645,0.00180930505,-0.0258210544,-7076.741,1.24E-07,0.2449,11.5729788256412,2.26194332716562,0.223992569273425,0.60731107880612,1.13229571984436
